Fiscal Year,Fund Code,Division Code,Department Code,Costing Center Acct. Reference,Division Name,Department Name,Costing Center Name,GL Account Number,GL Account Name, Adopted Budget 
2026,22,30,30.250,999,Division of Family Services,Child Advocacy Center,VOCA 2024 FS,50250,Social Security / Medicare, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Family Support Center 2027 FS,50280,Unemployment Contributions, $ -   
2026,10,30,30.225,999,Division of Family Services,Family Services Admin,Family Services Admin,52425,Marketing," $ 4,000.00 "
2026,22,30,30.250,999,Division of Family Services,Child Advocacy Center,VOCA 2024 FS,41300,State Grants - Operating, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Judy Center 2027 FS,50250,Social Security / Medicare, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,GED Youth FY27-FP,52755,Dues / Subscriptions, $ -   
2026,10,30,30.225,999,Division of Family Services,Family Services Admin,Family Services Admin,50290,Worker's Compensation, $ 356.00 
2026,10,30,30.250,999,Division of Family Services,Child Advocacy Center,Child Advocacy Center FS,50160,Overtime, $ -   
2026,10,30,30.235,999,Division of Family Services,Family Partnership,Family Partnership FS,50101,Salary & Wages," $ 410,560.00 "
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Family Support Center 2026 FS,52235,Fleet Charges," $ 33,500.00 "
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Family Support Center 2025 FS,52601,Travel / Training, $ -   
2026,22,30,30.250,999,Division of Family Services,Child Advocacy Center,VOCA 2023 FS,50250,Social Security / Medicare, $ -   
2026,22,30,30.250,999,Division of Family Services,Child Advocacy Center,CAC Services 2024 FS,52755,Dues / Subscriptions, $ -   
2026,22,30,30.225,999,Division of Family Services,Family Services Admin,LMB Administration 2025 FSA,50240,Dental Insurance Contributions, $ -   
2026,22,30,30.245,999,Division of Family Services,Office For Children & Family,LMB Administration 2024 FS,50225,OPEB, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Family Support Center 2026 FS,52601,Travel / Training," $ 2,000.00 "
2026,22,30,30.225,999,Division of Family Services,Family Services Admin,12 to 24 Collabr FY25,41300,State Grants - Operating, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Family Support Center 2025 FS,41300,State Grants - Operating, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Family Support Center 2025 FS,53200,Miscellaneous Supplies, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Family Support Center 2026 FS,52755,Dues / Subscriptions," $ 3,400.00 "
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Safe and Stable Families 2026 FS,50290,Worker's Compensation, $ 130.00 
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Family Support Center 2025 FS,53605,Office Supplies, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Judy Center 2026 FS,50101,Salary & Wages," $ 61,716.00 "
2026,22,30,30.235,999,Division of Family Services,Family Partnership,GED Youth FY27-FP,50240,Dental Insurance Contributions, $ -   
2026,22,30,30.250,999,Division of Family Services,Child Advocacy Center,VOCA 2024 FS,50290,Worker's Compensation, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Family Support Center 2026 FS,50301,Life Insurance," $ 2,839.00 "
2026,22,30,30.235,999,Division of Family Services,Family Partnership,MFN Supplemental,52701,Contracted Services, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Judy Center 2027 FS,53505,Food, $ -   
2026,10,30,30.245,999,Division of Family Services,Office For Children & Family,Children & Family FS,52755,Dues / Subscriptions, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Family Support Center 2024 FS,50160,Overtime, $ -   
2026,10,30,30.245,999,Division of Family Services,Office For Children & Family,Children & Family FS,50201,Health Insurance Contributions, $ -   
2026,22,30,30.225,999,Division of Family Services,Family Services Admin,Local Care Team 2025 FSA,50260,Defined Benefit Plan, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Safe and Stable Families 2027 FS,41055,Federal Grants - Pass Thru, $ -   
2026,22,30,30.250,999,Division of Family Services,Child Advocacy Center,VOCA 2024 FS,50101,Salary & Wages, $ -   
2026,10,30,30.235,615,Division of Family Services,Family Partnership,Non-Parenting Youth,52601,Travel / Training," $ 1,550.00 "
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Safe and Stable Families 2026 FS,50101,Salary & Wages," $ 105,981.00 "
2026,22,30,30.245,999,Division of Family Services,Office For Children & Family,LMB Administration 2024 FS,50240,Dental Insurance Contributions, $ -   
2026,22,30,30.225,999,Division of Family Services,Family Services Admin,EN CB CHANGE CONVER FY25,54401,Subgrants, $ -   
2026,22,30,30.225,999,Division of Family Services,Family Services Admin,LMB Administration 2027 FSA,50101,Salary & Wages, $ -   
2026,22,30,30.245,999,Division of Family Services,Office For Children & Family,Healthy Families 2024 FS,41300,State Grants - Operating, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Family Support Center 2026 FS,53200,Miscellaneous Supplies, $ 500.00 
2026,22,30,30.225,999,Division of Family Services,Family Services Admin,Local Care Team 2026 FSA,52405,Telephone - Wireless, $ 540.00 
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Family Support Center 2024 FS,52705,Supportive Services, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Family Support Center 2027 FS,52425,Marketing, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Judy Center 2026 FS,50240,Dental Insurance Contributions, $ 60.00 
2026,22,30,30.225,999,Division of Family Services,Family Services Admin,LMB Administration 2026 FSA,48201,Trans from General Fund," $ 92,724.00 "
2026,22,30,30.245,999,Division of Family Services,Office For Children & Family,Local Care Team 2024 FS,41300,State Grants - Operating, $ -   
2026,22,30,30.250,999,Division of Family Services,Child Advocacy Center,VOCA 2023 FS,50101,Salary & Wages, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Family Support Center 2024 FS,52401,Telephone, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Judy Center 2027 FS,50240,Dental Insurance Contributions, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Judy Center 2024 FS,52405,Telephone - Wireless, $ -   
2026,22,30,30.225,999,Division of Family Services,Family Services Admin,Local Care Team 2025 FSA,41300,State Grants - Operating, $ -   
2026,22,30,30.225,999,Division of Family Services,Family Services Admin,EN CB CHANGE CONVER FY25,41300,State Grants - Operating, $ -   
2026,10,30,30.225,999,Division of Family Services,Family Services Admin,Family Services Admin,50101,Salary & Wages," $ 428,851.00 "
2026,22,30,30.225,999,Division of Family Services,Family Services Admin,Local Care Team 2026 FSA,52601,Travel / Training," $ 27,792.00 "
2026,22,30,30.245,999,Division of Family Services,Office For Children & Family,Local Care Team 2024 FS,52601,Travel / Training, $ -   
2026,22,30,30.225,999,Division of Family Services,Family Services Admin,Healthy Families 2025 FSA,48201,Trans from General Fund, $ -   
2026,22,30,30.225,999,Division of Family Services,Family Services Admin,LMB Administration 2025 FSA,50201,Health Insurance Contributions, $ -   
2026,22,30,30.250,999,Division of Family Services,Child Advocacy Center,CAC Services 2027 FS,52405,Telephone - Wireless, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Judy Center 2026 FS,50290,Worker's Compensation, $ 43.00 
2026,22,30,30.245,999,Division of Family Services,Office For Children & Family,LMB Administration 2024 FS,52755,Dues / Subscriptions, $ -   
2026,22,30,30.250,999,Division of Family Services,Child Advocacy Center,VOCA 2024 FS,50225,OPEB, $ -   
2026,10,30,30.245,999,Division of Family Services,Office For Children & Family,Children & Family FS,50280,Unemployment Contributions, $ -   
2026,22,30,30.225,999,Division of Family Services,Family Services Admin,Local Care Team 2025 FSA,50280,Unemployment Contributions, $ -   
2026,22,30,30.250,999,Division of Family Services,Child Advocacy Center,VOCA 2025 FS,50301,Life Insurance, $ -   
2026,22,30,30.250,999,Division of Family Services,Child Advocacy Center,VOCA 2025 FS,50290,Worker's Compensation, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,GED Youth FY27-FP,50201,Health Insurance Contributions, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Safe and Stable Families 2026 FS,50260,Defined Benefit Plan," $ 14,307.00 "
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Family Support Center 2027 FS,53605,Office Supplies, $ -   
2026,10,30,30.250,999,Division of Family Services,Child Advocacy Center,Child Advocacy Center FS,53505,Food," $ 3,000.00 "
2026,10,30,30.250,999,Division of Family Services,Child Advocacy Center,Child Advocacy Center FS,53230,NonCapital Furniture / Equipment, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Youth Connections FY24-FP FS,50240,Dental Insurance Contributions, $ -   
2026,10,30,30.225,999,Division of Family Services,Family Services Admin,Family Services Admin,50240,Dental Insurance Contributions, $ 191.00 
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Judy Center 2024 FS,41300,State Grants - Operating, $ -   
2026,22,30,30.245,999,Division of Family Services,Office For Children & Family,Local Care Team 2024 FS,50301,Life Insurance, $ -   
2026,22,30,30.225,999,Division of Family Services,Family Services Admin,LMB Administration 2025 FSA,53230,NonCapital Furniture / Equipment, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Family Support Center 2026 FS,52745,Postage, $ 50.00 
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Youth Connections FY24-FP FS,52601,Travel / Training, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,GED Youth FY25-FP,60180,Miscellaneous Recovery, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,GED Youth FY27-FP,53505,Food, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Family Support Center 2027 FS,52235,Fleet Charges, $ -   
2026,10,30,30.250,999,Division of Family Services,Child Advocacy Center,Child Advocacy Center FS,50225,OPEB, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,GED Youth FY27-FP,60180,Miscellaneous Recovery, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Family Support Center 2027 FS,52401,Telephone, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,MFN Supplemental,52425,Marketing, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Family Support Center 2024 FS,53200,Miscellaneous Supplies, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Judy Center 2026 FS,52401,Telephone, $ 300.00 
2026,22,30,30.225,999,Division of Family Services,Family Services Admin,Local Care Team 2026 FSA,50240,Dental Insurance Contributions, $ 60.00 
2026,22,30,30.245,999,Division of Family Services,Office For Children & Family,Integrated Systems of Care2024 FS,48201,Trans from General Fund, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Judy Center 2024 FS,50250,Social Security / Medicare, $ -   
2026,22,30,30.225,999,Division of Family Services,Family Services Admin,ENGH CB FY25,53605,Office Supplies, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Youth Connections FY24-FP FS,53010,Program / Activity Supplies, $ -   
2026,22,30,30.245,999,Division of Family Services,Office For Children & Family,LMB Administration 2024 FS,41300,State Grants - Operating, $ -   
2026,10,30,30.235,615,Division of Family Services,Family Partnership,Non-Parenting Youth,50225,OPEB, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Safe and Stable Families 2027 FS,50301,Life Insurance, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Family Support Center 2024 FS,52601,Travel / Training, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Family Support Center 2025 FS,52401,Telephone, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Judy Center 2025 FS,50240,Dental Insurance Contributions, $ -   
2026,10,30,30.250,999,Division of Family Services,Child Advocacy Center,Child Advocacy Center FS,50250,Social Security / Medicare," $ 43,666.00 "
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Safe and Stable Families 2024 FS,50290,Worker's Compensation, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Judy Center 2027 FS,53010,Program / Activity Supplies, $ -   
2026,10,30,30.250,999,Division of Family Services,Child Advocacy Center,Child Advocacy Center FS,52745,Postage, $ 200.00 
2026,22,30,30.225,999,Division of Family Services,Family Services Admin,LMB Administration 2027 FSA,46615,In-Kind Revenue - Grants, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Family Support Center 2024 FS,53010,Program / Activity Supplies, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Family Support Center 2024 FS,52745,Postage, $ -   
2026,22,30,30.225,999,Division of Family Services,Family Services Admin,LMB Administration 2026 FSA,41300,State Grants - Operating," $ 121,353.00 "
2026,22,30,30.225,999,Division of Family Services,Family Services Admin,LMB Administration 2026 FSA,52601,Travel / Training," $ 10,000.00 "
2026,10,30,30.250,999,Division of Family Services,Child Advocacy Center,Child Advocacy Center FS,52420,Advertising, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Family Support Center 2026 FS,52425,Marketing, $ 150.00 
2026,22,30,30.235,999,Division of Family Services,Family Partnership,GED Youth FY26-FP,60180,Miscellaneous Recovery," $ (40,000.00)"
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Family Support Center 2027 FS,53200,Miscellaneous Supplies, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,MFN Supplemental FY25,53215,Computer Hardware / Software, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Safe and Stable Families 2027 FS,53010,Program / Activity Supplies, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Judy Center 2027 FS,50101,Salary & Wages, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Safe and Stable Families 2024 FS,50280,Unemployment Contributions, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Safe and Stable Families 2025 FS,50301,Life Insurance, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Family Support Center 2026 FS,52401,Telephone," $ 10,000.00 "
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Safe and Stable Families 2025 FS,41055,Federal Grants - Pass Thru, $ -   
2026,22,30,30.245,999,Division of Family Services,Office For Children & Family,LMB Administration 2024 FS,50280,Unemployment Contributions, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Family Support Center 2025 FS,50201,Health Insurance Contributions, $ -   
2026,22,30,30.250,999,Division of Family Services,Child Advocacy Center,VOCA 2025 FS,53230,NonCapital Furniture / Equipment, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Family Support Center 2025 FS,50225,OPEB, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Judy Center 2024 FS,53010,Program / Activity Supplies, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Judy Center 2026 FS,53010,Program / Activity Supplies," $ 1,500.00 "
2026,22,30,30.250,999,Division of Family Services,Child Advocacy Center,VOCA 2027 FS,48201,Trans from General Fund, $ -   
2026,22,30,30.225,999,Division of Family Services,Family Services Admin,Family Coaching FY25 FSA,41300,State Grants - Operating, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Family Support Center 2025 FS,52235,Fleet Charges, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Judy Center 2025 FS,50290,Worker's Compensation, $ -   
2026,10,30,30.235,615,Division of Family Services,Family Partnership,Non-Parenting Youth,52790,Client Services, $ 500.00 
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Youth Connections FY24-FP FS,50225,OPEB, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Judy Center 2026 FS,41300,State Grants - Operating," $ 100,000.00 "
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Youth Connections FY24-FP FS,50260,Defined Benefit Plan, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Family Support Center 2024 FS,50250,Social Security / Medicare, $ -   
2026,10,30,30.250,999,Division of Family Services,Child Advocacy Center,Child Advocacy Center FS,60180,Miscellaneous Recovery," $ (2,378.00)"
2026,22,30,30.225,999,Division of Family Services,Family Services Admin,LMB Administration 2027 FSA,50280,Unemployment Contributions, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Family Support Center 2027 FS,53010,Program / Activity Supplies, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Safe and Stable Families 2026 FS,50250,Social Security / Medicare," $ 8,107.00 "
2026,22,30,30.225,999,Division of Family Services,Family Services Admin,New Horizons FY25 FSA,41300,State Grants - Operating, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Judy Center 2025 FS,50101,Salary & Wages, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,GED Youth FY26-FP,50101,Salary & Wages," $ 20,202.00 "
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Family Support Center 2027 FS,54090,Event Expense, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Family Support Center 2026 FS,41055,Federal Grants - Pass Thru," $ 30,000.00 "
2026,22,30,30.225,999,Division of Family Services,Family Services Admin,LMB Administration 2026 FSA,52765,Printing, $ 800.00 
2026,22,30,30.250,999,Division of Family Services,Child Advocacy Center,CAC Services 2026 FS,52405,Telephone - Wireless," $ 3,200.00 "
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Safe and Stable Families 2027 FS,50290,Worker's Compensation, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Judy Center 2027 FS,50239,Family Medical Leave Insurance, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Judy Center 2024 FS,53505,Food, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,GED Youth FY27-FP,50250,Social Security / Medicare, $ -   
2026,22,30,30.245,999,Division of Family Services,Office For Children & Family,LMB Administration 2024 FS,50201,Health Insurance Contributions, $ -   
2026,22,30,30.225,999,Division of Family Services,Family Services Admin,LMB Administration 2027 FSA,50301,Life Insurance, $ -   
2026,22,30,30.250,999,Division of Family Services,Child Advocacy Center,VOCA 2026 FS,50301,Life Insurance, $ 216.00 
2026,10,30,30.250,999,Division of Family Services,Child Advocacy Center,Child Advocacy Center FS,52405,Telephone - Wireless," $ 1,500.00 "
2026,22,30,30.235,999,Division of Family Services,Family Partnership,GED Youth FY25-FP,50201,Health Insurance Contributions, $ -   
2026,22,30,30.250,999,Division of Family Services,Child Advocacy Center,VOCA 2026 FS,46615,In-Kind Revenue - Grants," $ 60,590.00 "
2026,10,30,30.235,999,Division of Family Services,Family Partnership,Family Partnership FS,50225,OPEB, $ -   
2026,22,30,30.225,999,Division of Family Services,Family Services Admin,New Horizons FY25 FSA,54401,Subgrants, $ -   
2026,22,30,30.245,999,Division of Family Services,Office For Children & Family,Integrated Systems of Care2024 FS,41300,State Grants - Operating, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,GED Youth FY27-FP,50301,Life Insurance, $ -   
2026,22,30,30.245,999,Division of Family Services,Office For Children & Family,LMB Administration 2024 FS,48201,Trans from General Fund, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Family Support Center 2026 FS,50260,Defined Benefit Plan," $ 120,955.00 "
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Family Support Center 2027 FS,52601,Travel / Training, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Safe and Stable Families 2027 FS,53315,Fleet Fuel, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Safe and Stable Families 2027 FS,50101,Salary & Wages, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Judy Center 2025 FS,50225,OPEB, $ -   
2026,10,30,30.225,999,Division of Family Services,Family Services Admin,Family Services Admin,54110,Misc Operating Expense, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Family Support Center 2027 FS,52745,Postage, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Family Support Center 2026 FS,53505,Food," $ 6,500.00 "
2026,22,30,30.235,999,Division of Family Services,Family Partnership,GED Youth FY27-FP,53010,Program / Activity Supplies, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Judy Center 2026 FS,50250,Social Security / Medicare," $ 4,721.00 "
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Judy Center 2026 FS,52701,Contracted Services," $ 1,000.00 "
2026,22,30,30.225,999,Division of Family Services,Family Services Admin,ENGH-CB 1224,54401,Subgrants, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,GED Youth FY25-FP,50250,Social Security / Medicare, $ -   
2026,10,30,30.225,999,Division of Family Services,Family Services Admin,Family Services Admin,53230,NonCapital Furniture / Equipment, $ -   
2026,22,30,30.245,999,Division of Family Services,Office For Children & Family,Healthy Families 2024 FS,52701,Contracted Services, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Family Support Center 2027 FS,50201,Health Insurance Contributions, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Family Support Center 2027 FS,52790,Client Services, $ -   
2026,10,30,30.250,999,Division of Family Services,Child Advocacy Center,Child Advocacy Center FS,52601,Travel / Training," $ 7,356.00 "
2026,22,30,30.225,999,Division of Family Services,Family Services Admin,ENOUGH 2025,53505,Food, $ -   
2026,22,30,30.245,999,Division of Family Services,Office For Children & Family,Local Care Team 2024 FS,50201,Health Insurance Contributions, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Family Support Center 2025 FS,53010,Program / Activity Supplies, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Family Support Center 2027 FS,53315,Fleet Fuel, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,GED Youth FY27-FP,50260,Defined Benefit Plan, $ -   
2026,22,30,30.225,999,Division of Family Services,Family Services Admin,AON EN FY25,54401,Subgrants, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,GED Youth FY25-FP,52601,Travel / Training, $ -   
2026,22,30,30.225,999,Division of Family Services,Family Services Admin,LMB Administration 2025 FSA,48201,Trans from General Fund, $ -   
2026,22,30,30.225,999,Division of Family Services,Family Services Admin,EN COF FY25,41300,State Grants - Operating, $ -   
2026,10,30,30.245,999,Division of Family Services,Office For Children & Family,Children & Family FS,52405,Telephone - Wireless, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,GED Youth FY25-FP,53010,Program / Activity Supplies, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Family Support Center 2024 FS,52235,Fleet Charges, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Family Support Center 2025 FS,50250,Social Security / Medicare, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Judy Center 2027 FS,41300,State Grants - Operating, $ -   
2026,10,30,30.235,615,Division of Family Services,Family Partnership,Non-Parenting Youth,52755,Dues / Subscriptions," $ 3,151.00 "
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Community Foundation 2023 FS,53010,Program / Activity Supplies, $ -   
2026,22,30,30.225,999,Division of Family Services,Family Services Admin,Local Care Team 2026 FSA,50260,Defined Benefit Plan," $ 6,333.00 "
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Safe and Stable Families 2025 FS,53315,Fleet Fuel, $ -   
2026,22,30,30.225,999,Division of Family Services,Family Services Admin,ENOUGH 2025,46615,In-Kind Revenue - Grants, $ -   
2026,10,30,30.235,999,Division of Family Services,Family Partnership,Family Partnership FS,53505,Food, $ 400.00 
2026,22,30,30.235,999,Division of Family Services,Family Partnership,MFN Supplemental FY25,54090,Event Expense, $ -   
2026,10,30,30.250,999,Division of Family Services,Child Advocacy Center,Child Advocacy Center FS,50240,Dental Insurance Contributions, $ 180.00 
2026,22,30,30.235,999,Division of Family Services,Family Partnership,CF- FY23 Impact Grant,53010,Program / Activity Supplies, $ -   
2026,22,30,30.245,999,Division of Family Services,Office For Children & Family,Local Care Team 2024 FS,50250,Social Security / Medicare, $ -   
2026,22,30,30.225,999,Division of Family Services,Family Services Admin,LMB Administration 2027 FSA,50260,Defined Benefit Plan, $ -   
2026,22,30,30.250,999,Division of Family Services,Child Advocacy Center,CAC Services 2024 FS,52601,Travel / Training, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Family Support Center 2025 FS,54090,Event Expense, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Family Support Center 2024 FS,52790,Client Services, $ -   
2026,22,30,30.225,999,Division of Family Services,Family Services Admin,12 to 24 Collabr FY25,54401,Subgrants, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Family Support Center 2027 FS,52755,Dues / Subscriptions, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Family Support Center 2026 FS,50280,Unemployment Contributions, $ 459.00 
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Safe and Stable Families 2025 FS,50225,OPEB, $ -   
2026,22,30,30.225,999,Division of Family Services,Family Services Admin,ENGH CB FY25,52701,Contracted Services, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,MFN Supplemental FY25,53010,Program / Activity Supplies, $ -   
2026,22,30,30.225,999,Division of Family Services,Family Services Admin,Local Care Team 2027 FSA,50260,Defined Benefit Plan, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Safe and Stable Families 2026 FS,48201,Trans from General Fund," $ 7,229.00 "
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Judy Center 2027 FS,50290,Worker's Compensation, $ -   
2026,22,30,30.225,999,Division of Family Services,Family Services Admin,ENOUGH 2025,52420,Advertising, $ -   
2026,10,30,30.250,999,Division of Family Services,Child Advocacy Center,Child Advocacy Center FS,52615,Mileage," $ 2,500.00 "
2026,22,30,30.225,999,Division of Family Services,Family Services Admin,LMB Administration 2027 FSA,50290,Worker's Compensation, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Family Support Center 2024 FS,52765,Printing, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Judy Center 2027 FS,50280,Unemployment Contributions, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Judy Center 2024 FS,54090,Event Expense, $ -   
2026,10,30,30.235,999,Division of Family Services,Family Partnership,Family Partnership FS,50280,Unemployment Contributions, $ 210.00 
2026,22,30,30.225,999,Division of Family Services,Family Services Admin,Local Care Team 2027 FSA,50301,Life Insurance, $ -   
2026,22,30,30.250,999,Division of Family Services,Child Advocacy Center,VOCA 2026 FS,50260,Defined Benefit Plan," $ 9,183.00 "
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Safe and Stable Families 2027 FS,41300,State Grants - Operating, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Safe and Stable Families 2024 FS,53315,Fleet Fuel, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Safe and Stable Families 2024 FS,50225,OPEB, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Safe and Stable Families 2024 FS,50101,Salary & Wages, $ -   
2026,22,30,30.225,999,Division of Family Services,Family Services Admin,LMB Administration 2025 FSA,50290,Worker's Compensation, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Judy Center 2024 FS,50201,Health Insurance Contributions, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,GED Youth FY25-FP,50240,Dental Insurance Contributions, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Family Support Center 2026 FS,52310,Vehicle / Equip Insurance, $ 900.00 
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Family Support Center 2025 FS,52745,Postage, $ -   
2026,22,30,30.235,999,Division of Family Services,Family Partnership,Family Support Center 2026 FS,48201,Trans from General Fund," $ 1,075,781.00 "
2026,22,30,30.225,999,Division of Family Services,Family Services Admin,Youth Connections FY26 FSA,54401,Subgrants," $ 40,000.00 "
